,A.1 External Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2 External Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
27,0,1.7549460714093117,2837827007.9343195,0,0.0,0.0,132,184.11183146389664,1.0,0.2530732502113048,76.0040687663319,1.5,0.4122214147944965,88.78159878517283,1.0,0.8346171172817082,30.214948938602607,10.0,0.3101625739220697,207.5651324734237,1.5,0.344676566592567,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,base case no policy,dikesnet
28,0,1.765358580707845,2531578452.209111,0,0.0,0.0,64,246.63810700409857,10.0,0.2627854733606778,268.79836985839813,1.0,0.2138341336312177,339.8624735671991,10.0,0.2218628419810602,126.90340687615247,1.0,0.9450411533927244,202.44521816695115,1.5,0.0544056844347398,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,base case no policy,dikesnet
29,0,1.7703972040577116,2395561630.7106304,0,0.1044701072016996,116688657.66606843,106,295.11117911453266,1.0,0.070314488237824,288.2788035261478,1.5,0.0208118403026347,207.9011157637809,1.0,0.7349374262530993,319.16584391059234,1.5,0.0029019955968272,348.4425713093287,1.5,0.9341023693126604,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,base case no policy,dikesnet
30,0,0.0,0.0,0,0.7881607540267589,775667193.7418379,15,52.81942432330976,1.5,0.994354946749744,308.2203989486515,1.0,0.0679658102452884,239.33600127992725,1.0,0.5451521517728807,163.00563347420618,1.5,0.0886718293088487,56.99184987965424,10.0,0.7396405159221038,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,base case no policy,dikesnet
31,0,1.7499448284015793,2513937258.8364286,0,0.0,0.0,124,327.7937230920042,10.0,0.0251666223691991,334.353874751796,1.5,0.7080235873800523,41.18817178476289,1.0,0.0452038182314717,34.79420875738103,1.0,0.2713722922386407,95.29641843328358,10.0,0.1125644374375495,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,base case no policy,dikesnet
32,0,0.0,0.0,0,0.0467190471556456,53769597.26720892,110,331.19163420698226,10.0,0.8984218769301789,58.8500328320289,1.0,0.6339064275431251,213.5649431008273,10.0,0.6606588678008137,233.2297353853008,1.5,0.0359741423641276,313.71403435301227,1.0,0.4702539142447282,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,base case no policy,dikesnet
33,0,1.7573773570743143,2840961235.4446826,0,0.001569316401746,1743780.5301894294,0,74.71170087755613,1.5,0.244862853837277,224.1068866849369,1.5,0.7296613824855782,74.62821371380349,1.5,0.654224316393751,243.6509066743849,1.5,0.8645062731476729,252.7289877558568,1.5,0.9662538490837402,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,base case no policy,dikesnet
34,0,1.7609298999300589,2658511188.42814,0,0.0,0.0,43,296.49410387950195,10.0,0.2219828346165827,122.33789204154156,1.0,0.9052894532024844,317.64112999988765,1.5,0.6491534954256102,297.1839868654457,1.0,0.319001234073436,228.88355770337847,1.0,0.4353482702585328,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,base case no policy,dikesnet
35,0,1.7714371157609088,2726450692.3310604,0,0.1894899224360531,218608028.22347292,56,80.87230376394415,10.0,0.1091535008772618,70.92812376456061,1.0,0.1485105969264065,70.0532691853752,1.5,0.6745284301451523,71.89391011787623,1.0,0.1143572520145258,39.93280644137021,1.5,0.1384673046391148,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,base case no policy,dikesnet
36,0,0.0,0.0,0,0.7935443439442731,733574039.0733802,71,163.97212409352738,1.0,0.8557970052571968,30.19573542776431,1.5,0.0809001256030101,49.14939013557464,1.0,0.2181787332862056,47.76016341671863,1.0,0.2001293667615095,227.1353296942152,1.5,0.1012062214526586,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,base case no policy,dikesnet
37,0,0.004603398770419,5637903.696089003,0,0.0114798590154962,10353813.098687978,9,140.83050620462666,10.0,0.7709840430163482,170.88935802788038,1.5,0.9293551810714974,309.3035859011469,10.0,0.4316112048583716,132.55365380084953,1.0,0.4090181641658168,262.38921342608387,10.0,0.133823106890522,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,base case no policy,dikesnet
38,0,1.564933647591538,2520648444.2959414,0,0.7363343108440127,936858620.5019196,10,103.89891650160158,1.5,0.340191509869066,236.2564247366444,1.0,0.0118410469135949,241.37374369335956,1.0,0.402604108554225,349.8758196224295,1.5,0.4726666989848211,194.833888851261,1.0,0.6056083319795144,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,base case no policy,dikesnet
